meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1229,9468,3,44,7.0,10.0,SOFT,3
1229,9468,4,27,10.0,13.0,SOFT,0
1229,9468,4,81,10.0,13.0,SOFT,0
1229,9468,4,20,10.0,12.0,SOFT,0
1229,9468,4,23,10.0,12.0,SOFT,0
1229,9468,4,18,10.0,12.0,SOFT,0
1229,9468,4,3,10.0,12.0,SOFT,0
1229,9468,4,22,10.0,12.0,SOFT,0
1229,9468,4,14,9.0,12.0,SOFT,0
1229,9468,4,55,10.0,13.0,SOFT,0
1229,9468,5,16,11.0,14.0,SOFT,0
1229,9468,4,1,10.0,12.0,SOFT,3
1229,9468,4,11,10.0,12.0,SOFT,0
1229,9468,4,4,8.0,10.0,SOFT,0
1229,9468,4,63,9.0,12.0,SOFT,0
1229,9468,4,44,10.0,13.0,SOFT,0
1229,9468,5,27,13.0,16.0,SOFT,3
1229,9468,5,4,10.0,13.0,SOFT,2
1229,9468,5,81,13.0,16.0,SOFT,3
1229,9468,5,63,12.0,15.0,SOFT,0
1229,9468,5,1,12.0,15.0,SOFT,0
1229,9468,5,44,13.0,16.0,SOFT,3
1229,9468,5,11,12.0,15.0,SOFT,2
1229,9468,5,55,13.0,16.0,SOFT,0
1229,9468,6,16,14.0,16.0,SOFT,1
1229,9468,5,14,12.0,14.0,SOFT,0
1229,9468,6,81,16.0,18.0,SOFT,0
1229,9468,6,4,13.0,15.0,SOFT,0
1229,9468,6,27,16.0,18.0,SOFT,3
1229,9468,6,63,15.0,17.0,SOFT,0
1229,9468,6,44,16.0,18.0,SOFT,0
1229,9468,6,1,15.0,17.0,SOFT,0
1229,9468,7,16,17.0,19.0,SOFT,0
1229,9468,6,55,16.0,18.0,SOFT,0
1229,9468,6,11,15.0,17.0,SOFT,0
1229,9472,1,1,1.0,17.0,SOFT,3
1229,9472,1,3,1.0,13.0,SOFT,3
1229,9472,1,14,1.0,15.0,SOFT,3
1229,9472,1,10,1.0,12.0,SOFT,0
1229,9472,1,81,1.0,12.0,SOFT,3
1229,9472,1,18,1.0,9.0,SOFT,0
1229,9472,1,27,1.0,1.0,SOFT,0
1229,9472,1,22,1.0,14.0,SOFT,0
1229,9472,1,31,1.0,10.0,SOFT,0
1229,9472,1,4,1.0,13.0,SOFT,3
1229,9472,1,2,1.0,10.0,SOFT,0
1229,9472,1,77,1.0,12.0,SOFT,0
1229,9472,1,63,1.0,11.0,SOFT,3
1229,9472,1,23,1.0,15.0,SOFT,0
1229,9472,1,16,1.0,11.0,SOFT,3
1229,9472,1,44,1.0,12.0,SOFT,3
1229,9472,1,20,1.0,11.0,SOFT,0
1229,9472,1,11,1.0,12.0,SOFT,3
1229,9472,1,24,1.0,9.0,SOFT,0
1229,9472,1,55,1.0,14.0,SOFT,3
1229,9472,2,27,2.0,20.0,HARD,0
1229,9472,2,24,10.0,28.0,HARD,0
1229,9472,2,18,10.0,27.0,HARD,0
1229,9472,2,31,11.0,30.0,HARD,0
1229,9472,2,2,11.0,28.0,HARD,0
1229,9472,2,63,12.0,31.0,HARD,0
1229,9472,2,16,12.0,34.0,HARD,0
1229,9472,2,20,12.0,32.0,HARD,0
1229,9472,2,11,13.0,36.0,HARD,0
1229,9472,2,81,13.0,34.0,HARD,0
1229,9472,2,44,13.0,33.0,HARD,0
1229,9472,2,77,13.0,30.0,HARD,0
1229,9472,2,10,13.0,31.0,HARD,0
1229,9472,2,4,14.0,33.0,HARD,0
1229,9472,2,3,14.0,35.0,HARD,0
1229,9472,2,55,15.0,35.0,HARD,0
1229,9472,2,22,15.0,34.0,HARD,0
1229,9472,2,14,16.0,41.0,HARD,0
1229,9472,2,23,16.0,36.0,HARD,0
1229,9472,2,1,18.0,37.0,HARD,0
1229,9472,3,27,21.0,41.0,HARD,0
1229,9472,3,18,28.0,57.0,HARD,0
1229,9472,3,24,29.0,56.0,HARD,0
1229,9472,3,2,29.0,40.0,HARD,0
1229,9472,3,31,31.0,56.0,HARD,0
1229,9472,3,63,32.0,57.0,HARD,0
1229,9472,3,77,31.0,56.0,HARD,0
1229,9472,3,10,32.0,43.0,HARD,0
1229,9472,3,20,33.0,56.0,HARD,0
1229,9472,3,4,34.0,57.0,HARD,0
1229,9472,3,44,34.0,57.0,HARD,0
1229,9472,3,16,35.0,57.0,HARD,0
1229,9472,3,81,35.0,57.0,HARD,0
1229,9472,3,22,35.0,56.0,HARD,0
1229,9472,3,55,36.0,57.0,HARD,0
1229,9472,3,3,36.0,56.0,SOFT,0
1229,9472,3,11,37.0,57.0,SOFT,0
1229,9472,3,23,37.0,56.0,HARD,0
1229,9472,3,1,38.0,57.0,SOFT,0
1229,9472,3,14,42.0,57.0,HARD,0
1229,9472,4,2,41.0,55.0,SOFT,0
1229,9472,4,27,42.0,56.0,SOFT,0
1229,9472,4,10,44.0,56.0,SOFT,0
1230,9476,1,20,1.0,6.0,SOFT,0
1230,9476,1,2,1.0,7.0,SOFT,0
1230,9476,1,27,1.0,6.0,SOFT,0
1230,9476,1,77,1.0,6.0,SOFT,0
1230,9476,1,31,1.0,7.0,SOFT,0
1230,9476,1,10,1.0,7.0,SOFT,0
1230,9476,1,81,1.0,6.0,SOFT,0
1230,9476,1,23,1.0,6.0,SOFT,0
1230,9476,1,4,1.0,6.0,SOFT,0
1230,9476,1,14,1.0,7.0,SOFT,0
1230,9476,1,18,1.0,6.0,SOFT,0
1230,9476,1,38,1.0,8.0,SOFT,0
1230,9476,1,44,1.0,4.0,MEDIUM,0
1230,9476,1,63,1.0,4.0,MEDIUM,0
1230,9476,1,16,1.0,9.0,SOFT,0
1230,9476,1,11,1.0,4.0,SOFT,0
1230,9476,1,1,1.0,4.0,SOFT,0
1230,9476,1,3,1.0,4.0,SOFT,0
1230,9476,1,22,1.0,4.0,SOFT,0
1230,9476,2,44,4.0,10.0,SOFT,0
1230,9476,2,63,4.0,9.0,SOFT,0
1230,9476,2,20,6.0,9.0,SOFT,0
1230,9476,2,27,6.0,9.0,SOFT,0
1230,9476,2,77,6.0,9.0,SOFT,0
1230,9476,2,4,6.0,9.0,SOFT,5
1230,9476,2,81,6.0,9.0,SOFT,5
1230,9476,2,10,7.0,9.0,SOFT,0
1230,9476,2,31,7.0,10.0,SOFT,0
1230,9476,2,23,6.0,9.0,SOFT,0
1230,9476,2,2,7.0,9.0,SOFT,0
1230,9476,2,11,4.0,7.0,SOFT,3
1230,9476,2,1,4.0,7.0,SOFT,3
1230,9476,2,3,4.0,7.0,SOFT,0
1230,9476,2,22,4.0,7.0,SOFT,0
1230,9476,2,18,6.0,9.0,SOFT,0
1230,9476,2,38,8.0,10.0,SOFT,0
1230,9476,2,14,7.0,9.0,SOFT,6
1230,9476,1,24,1.0,2.0,SOFT,0
1230,9476,3,20,9.0,12.0,SOFT,0
1230,9476,3,27,9.0,10.0,SOFT,0
1230,9476,3,44,10.0,13.0,SOFT,0
1230,9476,3,63,9.0,12.0,SOFT,0
1230,9476,3,81,9.0,12.0,SOFT,0
1230,9476,3,4,9.0,12.0,SOFT,0
1230,9476,3,38,10.0,12.0,SOFT,2
1230,9476,2,16,9.0,11.0,SOFT,0
1230,9476,3,23,9.0,11.0,SOFT,3
1230,9476,3,11,7.0,8.0,SOFT,0
1230,9476,4,38,12.0,14.0,SOFT,0
1230,9476,4,44,13.0,16.0,SOFT,3
1230,9476,4,63,12.0,15.0,SOFT,3
1230,9476,3,3,7.0,10.0,SOFT,0
1230,9476,4,11,8.0,11.0,SOFT,1
1230,9476,3,18,9.0,12.0,SOFT,0
1230,9476,3,14,9.0,12.0,SOFT,0
1230,9476,3,1,7.0,10.0,SOFT,0
1230,9476,4,20,12.0,15.0,SOFT,3
1230,9476,3,22,7.0,10.0,SOFT,0
1230,9476,3,16,11.0,14.0,SOFT,2
1230,9476,4,23,11.0,14.0,SOFT,5
1230,9476,4,81,12.0,17.0,SOFT,0
1230,9476,4,4,12.0,17.0,SOFT,0
1230,9476,5,38,14.0,18.0,SOFT,0
1230,9476,5,23,14.0,16.0,SOFT,8
1230,9476,5,20,15.0,17.0,SOFT,0
1230,9476,5,44,16.0,19.0,SOFT,0
1230,9476,5,63,15.0,18.0,SOFT,0
1230,9476,5,11,11.0,14.0,SOFT,4
1230,9476,4,22,10.0,13.0,SOFT,0
1230,9476,4,3,10.0,12.0,SOFT,0
1230,9476,4,1,10.0,13.0,SOFT,3
1230,9476,4,16,14.0,17.0,SOFT,0
1230,9476,4,18,12.0,14.0,SOFT,0
1230,9476,5,16,17.0,21.0,SOFT,0
1230,9476,6,44,19.0,22.0,SOFT,6
1230,9476,6,63,18.0,21.0,SOFT,3
1230,9476,5,81,17.0,20.0,SOFT,0
1230,9476,5,4,17.0,20.0,SOFT,3
1230,9476,5,22,13.0,16.0,SOFT,3
1230,9476,6,11,14.0,17.0,SOFT,0
1230,9476,4,14,12.0,15.0,SOFT,0
1230,9476,5,1,13.0,16.0,SOFT,0
1230,9476,5,18,14.0,17.0,SOFT,2
1230,9476,7,44,22.0,24.0,SOFT,0
1230,9476,7,63,21.0,22.0,SOFT,0
1230,9476,6,4,20.0,22.0,SOFT,0
1230,9476,6,81,20.0,22.0,SOFT,0
1230,9476,6,1,16.0,18.0,SOFT,0
1230,9476,7,11,17.0,19.0,SOFT,0
1230,9476,6,22,16.0,18.0,SOFT,0
1230,9476,6,16,21.0,23.0,SOFT,0
1230,9476,6,18,17.0,19.0,SOFT,0
1230,9476,5,14,15.0,17.0,SOFT,0
1230,9480,1,22,1.0,7.0,MEDIUM,0
1230,9480,1,2,1.0,7.0,MEDIUM,0
1230,9480,1,11,1.0,7.0,MEDIUM,0
1230,9480,1,23,1.0,7.0,MEDIUM,0
1230,9480,1,63,1.0,7.0,MEDIUM,0
1230,9480,1,18,1.0,5.0,MEDIUM,1
1230,9480,1,44,1.0,36.0,MEDIUM,0
1230,9480,1,3,1.0,7.0,MEDIUM,0
1230,9480,1,14,1.0,7.0,MEDIUM,1
1230,9480,1,4,1.0,37.0,MEDIUM,0
1230,9480,1,24,1.0,41.0,MEDIUM,0
1230,9480,1,10,1.0,1.0,MEDIUM,0
1230,9480,1,81,1.0,7.0,MEDIUM,0
1230,9480,1,20,1.0,7.0,MEDIUM,0
1230,9480,1,31,1.0,7.0,MEDIUM,0
1230,9480,1,77,1.0,7.0,SOFT,0
1230,9480,1,1,1.0,7.0,MEDIUM,0
1230,9480,1,27,1.0,33.0,MEDIUM,0
1230,9480,1,16,1.0,7.0,MEDIUM,0
1230,9480,1,38,1.0,7.0,SOFT,0
1230,9480,2,1,8.0,50.0,HARD,0
1230,9480,2,11,8.0,50.0,HARD,0
1230,9480,2,16,8.0,50.0,HARD,0
1230,9480,2,14,8.0,50.0,HARD,1
1230,9480,2,81,8.0,50.0,HARD,1
1230,9480,2,63,8.0,50.0,HARD,0
1230,9480,2,20,8.0,50.0,HARD,0
1230,9480,2,22,8.0,49.0,HARD,0
1230,9480,2,38,8.0,50.0,HARD,0
1230,9480,2,23,8.0,50.0,HARD,0
1230,9480,2,77,8.0,35.0,HARD,0
1230,9480,2,2,8.0,49.0,HARD,0
1230,9480,2,31,8.0,49.0,HARD,0
1230,9480,2,3,8.0,49.0,HARD,0
1230,9480,2,27,34.0,50.0,HARD,0
1230,9480,3,77,36.0,49.0,SOFT,0
1230,9480,2,44,37.0,50.0,SOFT,3
1230,9480,2,4,38.0,50.0,SOFT,1
1230,9480,2,24,42.0,49.0,SOFT,0
1231,9484,1,23,1.0,7.0,SOFT,0
1231,9484,1,31,1.0,5.0,SOFT,0
1231,9484,1,10,1.0,5.0,SOFT,0
1231,9484,1,27,1.0,6.0,SOFT,0
1231,9484,1,20,1.0,5.0,SOFT,0
1231,9484,1,77,1.0,7.0,SOFT,0
1231,9484,1,24,1.0,7.0,SOFT,0
1231,9484,1,1,1.0,4.0,SOFT,0
1231,9484,1,11,1.0,7.0,SOFT,0
1231,9484,1,18,1.0,7.0,SOFT,0
1231,9484,1,14,1.0,7.0,SOFT,0
1231,9484,1,55,1.0,7.0,SOFT,0
1231,9484,1,16,1.0,7.0,SOFT,0
1231,9484,1,4,1.0,6.0,SOFT,0
1231,9484,1,81,1.0,6.0,SOFT,0
1231,9484,1,63,1.0,7.0,SOFT,0
1231,9484,1,44,1.0,10.0,SOFT,0
1231,9484,1,22,1.0,4.0,SOFT,0
1231,9484,1,3,1.0,4.0,SOFT,0
1231,9484,2,1,4.0,7.0,SOFT,0
1231,9484,2,10,5.0,11.0,SOFT,0
1231,9484,2,31,5.0,12.0,SOFT,0
1231,9484,2,11,7.0,10.0,SOFT,6
1231,9484,2,23,7.0,10.0,SOFT,0
1231,9484,3,1,7.0,10.0,SOFT,6
1231,9484,2,27,6.0,8.0,SOFT,0
1231,9484,2,20,5.0,8.0,SOFT,0
1231,9484,2,3,4.0,6.0,SOFT,0
1231,9484,2,18,7.0,10.0,SOFT,0
1231,9484,2,77,7.0,10.0,SOFT,0
1231,9484,2,24,7.0,9.0,SOFT,0
1231,9484,2,81,6.0,8.0,SOFT,5
1231,9484,2,22,4.0,7.0,SOFT,0
1231,9484,2,63,7.0,10.0,SOFT,6
1231,9484,2,4,6.0,8.0,SOFT,0
1231,9484,2,55,7.0,10.0,SOFT,0
1231,9484,3,31,12.0,15.0,SOFT,6
1231,9484,4,1,10.0,13.0,SOFT,0
1231,9484,2,16,7.0,10.0,SOFT,5
1231,9484,3,23,10.0,13.0,SOFT,0
1231,9484,3,18,10.0,14.0,SOFT,0
1231,9484,2,14,7.0,11.0,SOFT,0
1231,9484,3,11,10.0,13.0,SOFT,0
1231,9484,3,4,8.0,11.0,SOFT,0
1231,9484,2,44,10.0,13.0,SOFT,0
1231,9484,3,63,10.0,14.0,SOFT,0
1231,9484,3,81,8.0,11.0,SOFT,0
1231,9484,3,77,10.0,13.0,SOFT,2
1231,9484,3,22,7.0,10.0,SOFT,3
1231,9484,3,20,8.0,11.0,SOFT,3
1231,9484,5,1,13.0,16.0,SOFT,3
1231,9484,4,31,15.0,21.0,SOFT,0
1231,9484,3,55,10.0,13.0,SOFT,0
1231,9484,4,11,13.0,16.0,SOFT,3
1231,9484,3,16,10.0,13.0,SOFT,0
1231,9484,4,23,13.0,15.0,SOFT,0
1231,9484,3,14,11.0,16.0,SOFT,0
1231,9484,4,18,14.0,19.0,SOFT,0
1231,9484,3,44,13.0,15.0,SOFT,0
1231,9484,4,20,11.0,13.0,SOFT,0
1231,9484,4,77,13.0,15.0,SOFT,0
1231,9484,4,63,14.0,17.0,SOFT,0
1231,9484,4,22,10.0,13.0,SOFT,0
1231,9484,4,16,13.0,16.0,SOFT,3
1231,9484,4,4,11.0,14.0,SOFT,0
1231,9484,4,81,11.0,13.0,SOFT,0
1231,9484,5,11,16.0,17.0,SOFT,6
1231,9484,4,55,13.0,16.0,SOFT,0
1231,9484,4,14,16.0,18.0,SOFT,4
1231,9484,5,63,17.0,20.0,SOFT,3
1231,9484,5,16,16.0,19.0,SOFT,0
1231,9484,5,22,13.0,16.0,SOFT,0
1231,9484,5,81,13.0,16.0,SOFT,0
1231,9484,6,1,16.0,19.0,SOFT,0
1231,9484,5,4,14.0,17.0,SOFT,0
1231,9484,6,11,17.0,20.0,SOFT,0
1231,9484,5,18,19.0,23.0,SOFT,0
1231,9484,6,63,20.0,23.0,SOFT,0
1231,9484,5,14,18.0,21.0,SOFT,0
1231,9484,7,1,19.0,21.0,SOFT,0
1231,9484,7,11,20.0,22.0,SOFT,0
1231,9484,6,81,16.0,18.0,SOFT,0
1231,9484,5,55,16.0,18.0,SOFT,0
1231,9484,6,4,17.0,19.0,SOFT,0
1231,9484,6,16,19.0,20.0,SOFT,0
1231,9484,6,22,16.0,18.0,SOFT,0
1231,9488,1,27,1.0,17.0,HARD,0
1231,9488,1,16,1.0,9.0,MEDIUM,0
1231,9488,1,11,1.0,14.0,MEDIUM,0
1231,9488,1,22,1.0,9.0,MEDIUM,0
1231,9488,1,63,1.0,8.0,MEDIUM,0
1231,9488,1,18,1.0,8.0,MEDIUM,1
1231,9488,1,14,1.0,17.0,HARD,1
1231,9488,1,23,1.0,6.0,MEDIUM,0
1231,9488,1,3,1.0,5.0,SOFT,0
1231,9488,1,4,1.0,14.0,MEDIUM,0
1231,9488,1,24,1.0,6.0,SOFT,1
1231,9488,1,55,1.0,16.0,MEDIUM,0
1231,9488,1,44,1.0,7.0,SOFT,0
1231,9488,1,10,1.0,17.0,MEDIUM,0
1231,9488,1,81,1.0,9.0,MEDIUM,0
1231,9488,1,20,1.0,7.0,MEDIUM,0
1231,9488,1,31,1.0,9.0,MEDIUM,0
1231,9488,1,77,1.0,8.0,MEDIUM,1
1231,9488,1,1,1.0,3.0,MEDIUM,0
1231,9488,2,3,5.0,29.0,HARD,0
1231,9488,2,23,6.0,27.0,HARD,0
1231,9488,2,24,6.0,35.0,HARD,1
1231,9488,2,44,7.0,15.0,HARD,0
1231,9488,2,20,7.0,33.0,HARD,0
1231,9488,2,63,8.0,45.0,HARD,0
1231,9488,2,18,8.0,37.0,HARD,1
1231,9488,2,77,8.0,36.0,HARD,0
1231,9488,2,81,9.0,39.0,HARD,1
1231,9488,2,16,9.0,34.0,HARD,0
1231,9488,2,22,9.0,36.0,HARD,0
1231,9488,2,31,9.0,16.0,HARD,0
1231,9488,2,4,14.0,40.0,HARD,1
1231,9488,2,11,14.0,35.0,HARD,0
1231,9488,2,55,16.0,41.0,HARD,0
1231,9488,3,31,16.0,42.0,HARD,0
1231,9488,2,14,17.0,41.0,MEDIUM,1
1231,9488,2,27,17.0,35.0,MEDIUM,0
1231,9488,2,10,17.0,41.0,HARD,0
1231,9488,3,23,27.0,57.0,HARD,0
1231,9488,3,3,29.0,57.0,HARD,0
1231,9488,3,20,33.0,57.0,HARD,0
1231,9488,3,16,34.0,58.0,HARD,0
1231,9488,3,11,35.0,58.0,HARD,0
1231,9488,3,27,35.0,58.0,HARD,0
1231,9488,3,24,35.0,57.0,HARD,0
1231,9488,3,22,36.0,58.0,HARD,0
1231,9488,3,77,36.0,57.0,HARD,0
1231,9488,3,18,37.0,58.0,HARD,0
1231,9488,3,81,39.0,58.0,HARD,1
1231,9488,3,4,40.0,58.0,HARD,1
1231,9488,3,55,41.0,58.0,HARD,0
1231,9488,3,14,41.0,58.0,HARD,1
1231,9488,3,10,41.0,57.0,HARD,0
1231,9488,4,31,42.0,57.0,HARD,7
1231,9488,3,63,45.0,56.0,HARD,0
1232,9492,1,20,1.0,4.0,SOFT,0
1232,9492,1,2,1.0,4.0,SOFT,0
1232,9492,1,23,1.0,4.0,SOFT,0
1232,9492,1,11,1.0,4.0,SOFT,0
1232,9492,1,1,1.0,4.0,SOFT,0
1232,9492,1,16,1.0,4.0,SOFT,0
1232,9492,1,55,1.0,4.0,SOFT,0
1232,9492,1,44,1.0,4.0,SOFT,0
1232,9492,1,63,1.0,4.0,SOFT,0
1232,9492,1,81,1.0,4.0,SOFT,0
1232,9492,1,14,1.0,4.0,SOFT,0
1232,9492,1,18,1.0,4.0,SOFT,0
1232,9492,1,31,1.0,4.0,SOFT,0
1232,9492,1,3,1.0,4.0,SOFT,0
1232,9492,1,10,1.0,4.0,SOFT,0
1232,9492,1,27,1.0,4.0,SOFT,0
1232,9492,1,22,1.0,4.0,SOFT,0
1232,9492,1,77,1.0,4.0,SOFT,0
1232,9492,1,24,1.0,4.0,SOFT,0
1232,9492,1,4,1.0,4.0,SOFT,0
1232,9492,2,20,4.0,7.0,SOFT,0
1232,9492,2,23,4.0,7.0,SOFT,0
1232,9492,2,2,4.0,6.0,SOFT,0
1232,9492,2,10,4.0,6.0,SOFT,0
1232,9492,2,16,4.0,7.0,SOFT,0
1232,9492,3,20,7.0,9.0,SOFT,0
1232,9492,2,18,4.0,6.0,SOFT,0
1232,9492,2,27,4.0,7.0,SOFT,0
1232,9492,2,31,4.0,7.0,SOFT,0
1232,9492,2,3,4.0,7.0,SOFT,0
1232,9492,2,22,4.0,7.0,SOFT,0
1232,9492,2,77,4.0,7.0,SOFT,0
1232,9492,2,24,4.0,6.0,SOFT,0
1232,9492,2,4,4.0,5.0,SOFT,3
1232,9492,2,11,4.0,7.0,SOFT,0
1232,9492,2,1,4.0,7.0,SOFT,0
1232,9492,3,27,7.0,10.0,SOFT,3
1232,9492,2,81,4.0,7.0,SOFT,0
1232,9492,2,14,4.0,7.0,SOFT,0
1232,9492,2,44,4.0,7.0,SOFT,3
1232,9492,3,4,5.0,8.0,SOFT,0
1232,9492,3,22,7.0,10.0,SOFT,3
1232,9492,2,63,4.0,7.0,SOFT,3
1232,9492,3,31,7.0,10.0,SOFT,3
1232,9492,3,3,7.0,10.0,SOFT,0
1232,9492,3,16,7.0,10.0,SOFT,0
1232,9492,2,55,4.0,7.0,SOFT,0
1232,9492,3,77,7.0,10.0,SOFT,3
1232,9492,3,44,7.0,10.0,SOFT,0
1232,9492,3,63,7.0,10.0,SOFT,0
1232,9492,4,27,10.0,12.0,SOFT,0
1232,9492,4,31,10.0,12.0,SOFT,0
1232,9492,4,3,10.0,12.0,SOFT,0
1232,9492,3,23,7.0,9.0,SOFT,0
1232,9492,4,22,10.0,13.0,SOFT,0
1232,9492,4,77,10.0,12.0,SOFT,0
1232,9492,4,44,10.0,13.0,SOFT,0
1232,9492,4,63,10.0,13.0,SOFT,0
1232,9492,3,1,7.0,10.0,SOFT,0
1232,9492,3,11,7.0,10.0,SOFT,0
1232,9492,3,14,7.0,10.0,SOFT,0
1232,9492,3,55,7.0,10.0,SOFT,0
1232,9492,3,81,7.0,10.0,SOFT,0
1232,9492,5,22,13.0,16.0,SOFT,3
1232,9492,4,4,8.0,11.0,SOFT,0
1232,9492,4,16,10.0,12.0,SOFT,0
1232,9492,4,11,10.0,12.0,SOFT,0
1232,9492,4,1,10.0,12.0,SOFT,0
1232,9492,4,55,10.0,12.0,SOFT,0
1232,9492,6,22,16.0,18.0,SOFT,0
1232,9492,4,14,10.0,12.0,SOFT,0
1232,9492,5,4,11.0,13.0,SOFT,0
1232,9492,4,81,10.0,12.0,SOFT,0
1232,9492,5,44,13.0,15.0,SOFT,0
1232,9492,5,63,13.0,15.0,SOFT,0
1232,9496,1,1,1.0,1.0,MEDIUM,0
1232,9496,1,81,1.0,1.0,MEDIUM,0
1232,9496,1,63,1.0,1.0,MEDIUM,0
1232,9496,1,4,1.0,1.0,MEDIUM,0
1232,9496,1,44,1.0,1.0,MEDIUM,0
1232,9496,1,22,1.0,1.0,MEDIUM,0
1232,9496,1,24,1.0,1.0,MEDIUM,0
1232,9496,1,77,1.0,1.0,SOFT,0
1232,9496,1,10,1.0,1.0,SOFT,0
1232,9496,1,14,1.0,1.0,SOFT,0
1232,9496,1,27,1.0,1.0,SOFT,0
1232,9496,1,18,1.0,1.0,SOFT,0
1232,9496,1,11,1.0,1.0,MEDIUM,0
1232,9496,1,16,1.0,1.0,MEDIUM,0
1232,9496,1,31,1.0,1.0,SOFT,0
1232,9496,1,2,1.0,1.0,SOFT,0
1232,9496,1,20,1.0,1.0,MEDIUM,0
1232,9496,1,55,1.0,1.0,MEDIUM,0
1232,9496,2,1,2.0,16.0,MEDIUM,1
1232,9496,2,11,2.0,15.0,MEDIUM,1
1232,9496,2,4,2.0,11.0,MEDIUM,0
1232,9496,2,55,2.0,15.0,MEDIUM,0
1232,9496,2,14,2.0,13.0,SOFT,1
1232,9496,2,81,2.0,12.0,MEDIUM,1
1232,9496,2,44,2.0,23.0,HARD,0
1232,9496,2,16,2.0,26.0,MEDIUM,0
1232,9496,2,63,2.0,22.0,HARD,0
1232,9496,2,77,2.0,6.0,SOFT,0
1232,9496,2,27,2.0,5.0,SOFT,1
1232,9496,2,22,2.0,7.0,SOFT,0
1232,9496,2,31,2.0,19.0,HARD,0
1232,9496,2,10,2.0,16.0,HARD,0
1232,9496,2,18,2.0,12.0,SOFT,0
1232,9496,2,20,2.0,22.0,MEDIUM,0
1232,9496,2,2,2.0,22.0,HARD,0
1232,9496,2,24,2.0,7.0,SOFT,0
1232,9496,3,27,6.0,33.0,HARD,0
1232,9496,3,77,7.0,22.0,HARD,0
1232,9496,3,22,8.0,22.0,HARD,0
1232,9496,3,24,8.0,11.0,HARD,0
1232,9496,3,4,12.0,26.0,HARD,0
1232,9496,4,24,12.0,12.0,HARD,4
1232,9496,3,81,13.0,32.0,HARD,0
1232,9496,3,18,13.0,22.0,MEDIUM,0
1232,9496,3,14,14.0,33.0,MEDIUM,0
1232,9496,3,11,16.0,33.0,MEDIUM,0
1232,9496,3,55,16.0,36.0,MEDIUM,1
1232,9496,3,1,17.0,34.0,MEDIUM,0
1232,9496,3,10,17.0,32.0,MEDIUM,0
1232,9496,3,31,20.0,33.0,HARD,0
1232,9496,3,63,23.0,37.0,HARD,0
1232,9496,4,22,23.0,52.0,HARD,0
